,Unnamed: 0,game_name,game_params,init_time,total_time,times,level,load,it,GPU,CPU,storage,config_id
15,15.0,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 19:42:21.880559616,51.731372118,"[0.2536895275115967, 23.294774293899536, 25.338924646377563, 26.608065366744995, 27.91482377052307, 48.57715702056885, 50.620171785354614]",20.66233325,2.0441503525,5,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
16,16.0,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 19:43:26.711818496,48.3721618652,"[0.2874176502227783, 21.41375756263733, 23.406514644622803, 24.694087743759155, 25.98082661628723, 45.22230768203735, 47.27019286155701]",19.2414810658,1.992757082,6,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
17,17.0,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 19:44:28.242211840,54.1318142414,"[0.28925657272338867, 21.29877233505249, 23.323066234588623, 24.60242009162903, 25.88923931121826, 50.967044830322266, 53.02158808708191]",25.0778055191,2.0242938995,7,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
18,18.0,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 19:45:35.491142912,49.0343773365,"[0.2393648624420166, 22.01392650604248, 24.00546145439148, 25.294374465942383, 26.58616805076599, 45.865230083465576, 47.922049045562744]",19.2790620327,1.9915349483,8,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
19,19.0,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 19:46:37.657507328,53.8052816391,"[0.27364540100097656, 21.376408338546753, 23.397960424423218, 24.685176134109497, 25.974226713180542, 50.55271935462952, 52.70102119445801]",24.5784926414,2.0215520859,9,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
20,20.0,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 19:47:44.508381440,50.6459708214,"[0.255643367767334, 28.63089919090271, 40.795408964157104, 42.416998624801636, 50.11139917373657]",7.6944005489,40.5397655964,0,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
21,21.0,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 19:48:46.132140032,50.2918763161,"[0.24605679512023926, 28.042475938796997, 40.58073711395264, 42.18716025352478, 49.73124384880066]",7.5440835953,40.3346803188,1,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
22,22.0,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 19:49:47.381249024,50.3326656818,"[0.2631418704986572, 27.199405193328857, 40.5044527053833, 42.11763644218445, 49.78284215927124]",7.6652057171,40.2413108349,2,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
23,23.0,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 19:50:48.675971328,51.3353283405,"[0.2527594566345215, 26.69336175918579, 40.71396827697754, 42.30245065689087, 50.79130434989929]",8.488853693,40.4612088203,3,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
24,24.0,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 19:51:50.972683776,48.9052200317,"[0.2539236545562744, 26.505454301834106, 38.36094689369202, 39.913705348968506, 48.35706543922424]",8.4433600903,38.1070232391,4,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
25,25.0,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 19:52:50.888209152,50.3641448021,"[0.271622896194458, 26.634579181671143, 39.7243971824646, 41.32368206977844, 49.84246873855591]",8.5187866688,39.4527742863,5,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
26,26.0,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 19:53:52.230217728,48.1103875637,"[0.26172828674316406, 26.448081016540527, 38.220523834228516, 39.819522857666016, 47.56329560279846]",7.7437727451,37.9587955475,6,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
27,27.0,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 19:54:51.328507648,48.8066687584,"[0.2631103992462158, 26.355589866638184, 39.76508855819702, 41.36461424827576, 48.28100371360779]",6.9163894653,39.501978159,7,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
