,Unnamed: 0,iteration,game_name,game_params,init_time,total_time,times,level,load
18,18,8,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 15:07:07.331415808,109.4151587486,"[1.741621971130371, 7.955453395843506, 54.832324743270874, 57.700029373168945, 64.92659020423889, 66.95566868782043, 97.68789386749268, 102.52226734161377, 105.36270761489868, 107.06648993492126, 109.08282947540283]",7.6748137474,56.9711368084
19,19,9,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 15:09:16.752999424,109.6403179169,"[1.7562024593353271, 7.970986366271973, 54.84476637840271, 57.68211126327515, 65.10827684402466, 67.14857387542725, 97.93808698654175, 102.76245141029358, 105.60806679725647, 107.31314659118652, 109.316330909729]",7.6699798107,57.1372904778
20,20,0,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-19 15:11:26.402566912,91.7483677864,"[1.7552483081817627, 72.28107976913452, 91.37698936462402]",19.0959095955,70.525831461
21,21,1,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-19 15:34:06.645481728,81.304141283,"[1.7443351745605469, 62.86867952346802, 80.91313457489014]",18.0444550514,61.1243443489
22,22,2,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-19 15:35:49.454787840,80.0797452927,"[1.7247209548950195, 59.64415740966797, 79.71202325820923]",20.0678658485,57.9194364548
23,23,3,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-19 15:37:30.999034624,79.9520134926,"[1.7329802513122559, 60.684974908828735, 79.59498310089111]",18.9100081921,58.9519946575
24,24,4,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-19 15:39:12.409970176,79.0895926952,"[1.725003957748413, 60.51139450073242, 78.74570965766907]",18.2343151569,58.786390543
25,25,5,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-19 15:40:52.959477504,79.0285928249,"[1.7232279777526855, 60.14624524116516, 78.68752956390381]",18.5412843227,58.4230172634
26,26,6,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-19 15:42:33.447714048,78.0713012218,"[1.750108003616333, 59.645806312561035, 77.73304557800293]",18.0872392654,57.8956983089
27,27,7,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-19 15:44:12.981690880,78.0354762077,"[1.7190542221069336, 59.99598026275635, 77.68911337852478]",17.6931331158,58.2769260406
28,28,8,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-19 15:45:52.479146240,77.8413553238,"[1.737680435180664, 59.61464715003967, 77.46510004997253]",17.8504528999,57.8769667149
29,29,9,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-19 15:47:31.797327104,78.6753094196,"[1.725931167602539, 59.87239050865173, 78.24643635749817]",18.3740458488,58.146459341
30,30,0,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2022-03-19 15:49:11.934471936,116.0924537182,"[1.7482151985168457, 10.799301147460938, 35.9521369934082, 42.800644874572754, 44.48971366882324, 46.54548001289368, 48.6100070476532, 52.03959083557129, 54.08525466918945, 56.102100133895874, 87.95805668830872, 89.66404175758362, 108.87377738952637, 112.04261207580566, 113.72126698493958, 115.76700162887573]",6.8485078812,25.1528358459
31,31,1,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2022-03-19 15:51:29.864371200,103.9956941605,"[1.756018877029419, 8.812451839447021, 28.956175565719604, 35.79611325263977, 37.47513175010681, 39.51305651664734, 41.577869176864624, 43.59070324897766, 45.62221550941467, 47.65394735336304, 79.49081897735596, 81.19830250740051, 96.80709385871887, 99.96493244171143, 101.64081764221191, 103.67088747024536]",6.8399376869,20.1437237263
32,32,2,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2022-03-19 15:53:35.699412736,105.9777464867,"[1.7249293327331543, 10.755338430404663, 28.703927755355835, 35.55547571182251, 37.239092111587524, 39.29873752593994, 41.38460993766785, 43.40813112258911, 45.45166516304016, 47.485069274902344, 79.34205222129822, 81.0468921661377, 98.7726457118988, 101.94125986099243, 103.62330389022827, 105.65555882453918]",6.8515479565,17.948589325
33,33,3,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2022-03-19 15:55:43.482336512,107.0083348751,"[1.7249565124511719, 8.847481966018677, 27.528781414031982, 34.36444902420044, 36.0615611076355, 38.11783456802368, 40.1820592880249, 42.223509788513184, 44.261815786361694, 46.301963090896606, 78.13907933235168, 79.85244059562683, 99.79246282577515, 102.96979713439941, 104.63754343986511, 106.68669319152832]",6.8356676102,18.681299448
34,34,4,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2022-03-19 15:57:52.267534592,102.7501046658,"[1.7727460861206055, 8.791450500488281, 27.634555339813232, 34.48131203651428, 36.175130128860474, 38.21588373184204, 40.278666257858276, 42.32440161705017, 44.38433766365051, 46.42217946052551, 78.2527220249176, 79.95139336585999, 95.54488277435303, 98.70408940315247, 100.39053082466125, 102.4184947013855]",6.8467566967,18.8431048393
35,35,5,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2022-03-19 15:59:56.834693376,106.9928388596,"[1.756941318511963, 11.056757688522339, 29.02512526512146, 35.87590026855469, 37.558454513549805, 39.597638845443726, 41.66585350036621, 43.69011092185974, 45.73606276512146, 47.7501015663147, 79.59045243263245, 81.30040407180786, 99.79206800460815, 102.951251745224, 104.63999056816101, 106.67289090156555]",6.8507750034,17.9683675766
36,36,6,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2022-03-19 16:02:05.634563328,106.1749470234,"[1.771740436553955, 9.43697738647461, 27.52218985557556, 34.37110161781311, 36.055609464645386, 38.10077452659607, 40.16580247879028, 42.175857067108154, 44.2225821018219, 46.23679971694946, 78.08408522605896, 79.80060601234436, 98.93945813179016, 102.12021732330322, 103.80612254142761, 105.8509452342987]",6.8489117622,18.0852124691
