,/lpc/nct6793d/control/0,/lpc/nct6793d/control/1,/lpc/nct6793d/control/2,/lpc/nct6793d/control/3,/lpc/nct6793d/control/4,/lpc/nct6793d/control/5,/lpc/nct6793d/voltage/0,/lpc/nct6793d/voltage/1,/lpc/nct6793d/voltage/2,/lpc/nct6793d/voltage/3,/lpc/nct6793d/voltage/4,/lpc/nct6793d/voltage/5,/lpc/nct6793d/voltage/6,/lpc/nct6793d/voltage/7,/lpc/nct6793d/voltage/8,/lpc/nct6793d/voltage/9,/lpc/nct6793d/voltage/10,/lpc/nct6793d/voltage/11,/lpc/nct6793d/voltage/12,/lpc/nct6793d/voltage/13,/lpc/nct6793d/voltage/14,/lpc/nct6793d/temperature/0,/lpc/nct6793d/temperature/1,/lpc/nct6793d/temperature/2,/lpc/nct6793d/temperature/3,/lpc/nct6793d/temperature/4,/lpc/nct6793d/temperature/5,/lpc/nct6793d/temperature/6,/lpc/nct6793d/fan/0,/lpc/nct6793d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/level/0,/hdd/2/data/0,/hdd/2/load/0,/hdd/2/temperature/0,/hdd/2/factor/0,/hdd/3/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Used Space","Temperature","Used Space","Remaining Life","Total Bytes Written","Used Space","Temperature","Write Amplification","Used Space"
12/16/2021 11:41:43,36.47059,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.136,0.120000005,0.136,46,27.5,118,26.5,111,111,110,2173.913,1931.33044,100,100,100,100,100,43,46,43,46,46,3904.45215,3904.45215,3904.45215,3904.45215,47.99869,39.8716278,0.9689288,2.87196684,100.114159,36.84351,5.846653,10.0222282,53.0000038,1152,35,775,1050,1.1,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:44,36.47059,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.42400026,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,47,27.5,118,26.5,111,111,110,2163.46143,1928.57141,100,100,100,100,100,41,42,46,48,48,3904.45313,3904.45313,3904.45313,3904.45313,48.90955,40.76173,1.01966286,2.902153,100.114182,36.9880066,5.869583,9.999298,54.0000038,1154,35,300,1050,0.950000048,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:45,37.64706,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,47,27.5,118,26.5,111,111,110,2153.11,1928.57141,100,100,100,100,100,42,44,43,48,48,3904.45215,3904.45215,3904.45215,3904.45215,49.4283829,41.2215233,1.019767,2.984452,100.114159,37.55504,5.959564,9.909317,54.0000038,1155,35,300,1050,0.950000048,6,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:46,37.64706,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,48,28,118,26.5,111,111,110,2166.934,1939.65515,100,100,100,100,100,44,48,47,49,47,3904.452,3904.452,3904.452,3904.452,51.1221848,43.0134239,1.019633,2.812324,100.114151,37.9668922,6.02492142,9.84396,54.0000038,1155,35,900,1050,1.17500007,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:47,38.4313736,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,48,28,118,26.5,111,111,110,2156.54956,1942.446,100,100,100,100,100,45,45,46,45,46,3904.45166,3904.45166,3904.45166,3904.45166,49.86994,41.6368942,1.0196116,2.955179,100.114143,38.5090675,6.110958,9.757923,54.0000038,1154,35,900,1050,1.17500007,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:48,38.4313736,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.42400026,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,48,28,118,26.5,111,111,110,2166.934,1939.65515,88.3333359,93.3333359,98.3333359,96.6666641,94.1666641,46,48,46,49,49,3904.45142,3904.45142,3904.45142,3904.45142,49.533638,41.3125648,1.01979983,2.93837857,100.114136,38.66366,6.13549042,9.733391,55.0000038,1152,35,900,1050,1.17500007,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:49,38.4313736,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,47,28,118,26.5,111,111,111,2153.11,1914.89368,98.4375,84.375,89.0625,93.75,91.40625,44,39,47,48,48,3904.45239,3904.45239,3904.45239,3904.45239,48.3914833,40.162838,1.01945984,2.977989,100.114166,38.74104,6.14777,9.721111,55.0000038,1151,35,900,1050,1.17500007,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:50,38.4313736,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,48,28,118,26.5,111,111,110,2160,1939.65515,87.69231,87.69231,95.38461,96.92308,91.92307,46,48,34,48,48,3904.45068,3904.45068,3904.45068,3904.45068,49.2916336,41.0218353,1.019412,2.92649126,100.11412,38.7506332,6.149292,9.719589,55.0000038,1151,35,900,1050,1.17500007,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:51,38.4313736,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,48,28.5,118,26.5,111,111,110,2166.934,1936.87231,90.47619,84.12698,96.82539,92.06349,90.87302,43,46,47,48,47,3904.45239,3904.45239,3904.45239,3904.45239,49.01711,40.8029556,1.02055871,2.96391726,100.114166,39.06066,6.19849,9.670391,55.0000038,1150,35,900,1050,1.17500007,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:52,38.4313736,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,48,28.5,118,26.5,111,111,110,2160,1934.09741,98.48485,100,100,100,99.6212158,42,46,42,48,48,3904.45239,3904.45239,3904.45239,3904.45239,50.6759834,42.4577942,1.01884723,2.901117,100.114166,39.032177,6.19396973,9.6749115,54.0000038,1151,35,300,1050,0.950000048,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:53,38.4313736,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,47,28.5,118,26.5,111,111,110,2173.913,1931.33044,100,100,100,100,100,44,46,47,46,47,3904.452,3904.452,3904.452,3904.452,49.8869934,41.7840271,1.01974452,2.81131268,100.114151,39.2606659,6.23022842,9.638653,54.0000038,1152,35,300,1050,0.950000048,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:54,37.64706,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,47,28.5,118,26.5,111,111,110,2160,1936.87231,100,100,100,100,100,42,48,47,49,48,3904.45044,3904.45044,3904.45044,3904.45044,50.2116966,42.10361,1.01980853,2.62753582,100.114113,39.331028,6.241394,9.627487,54.0000038,1154,35,300,1050,0.950000048,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
