,/lpc/nct6793d/control/0,/lpc/nct6793d/control/1,/lpc/nct6793d/control/2,/lpc/nct6793d/control/3,/lpc/nct6793d/control/4,/lpc/nct6793d/control/5,/lpc/nct6793d/voltage/0,/lpc/nct6793d/voltage/1,/lpc/nct6793d/voltage/2,/lpc/nct6793d/voltage/3,/lpc/nct6793d/voltage/4,/lpc/nct6793d/voltage/5,/lpc/nct6793d/voltage/6,/lpc/nct6793d/voltage/7,/lpc/nct6793d/voltage/8,/lpc/nct6793d/voltage/9,/lpc/nct6793d/voltage/10,/lpc/nct6793d/voltage/11,/lpc/nct6793d/voltage/12,/lpc/nct6793d/voltage/13,/lpc/nct6793d/voltage/14,/lpc/nct6793d/temperature/0,/lpc/nct6793d/temperature/1,/lpc/nct6793d/temperature/2,/lpc/nct6793d/temperature/3,/lpc/nct6793d/temperature/4,/lpc/nct6793d/temperature/5,/lpc/nct6793d/temperature/6,/lpc/nct6793d/fan/0,/lpc/nct6793d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/fan/0,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/level/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/0/temperature/0,/hdd/0/factor/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Remaining Life","Total Bytes Written","Used Space","Temperature","Write Amplification","Used Space"
12/17/2021 09:45:52,24.3137264,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1,0.15200001,1.03200006,3.40800023,3.18400025,0.984,0.144000009,0.120000005,0.136,0.120000005,0.128,31,23.5,120,24.5,113,113,112,2166.934,1928.57141,100,100,100,100,100,31,30,31,32,32,3291.75366,3291.75366,3291.75366,3291.75366,46.76525,35.4315453,0,2.07192636,99.7501144,29.4264,4.69033051,11.2488632,29,1126.406,3505.50024,2252.812,1000,1,2,0,0,30,2048,423.851563,1624.14844,20.6958771,26.7850018,0.9765625,2.9296875,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:53,24.3137264,100,49.80392,49.80392,49.80392,49.80392,0.536,1.008,3.40800023,3.42400026,1,0.144000009,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,31,24,120,24.5,113,113,112,2153.11,1925.82031,100,100,100,100,100,27,30,28,28,30,3291.75342,3291.75342,3291.75342,3291.75342,39.10994,34.6816864,0,2.3487258,99.75011,31.319313,4.99204636,10.9471474,30,1126.406,3505.50024,2252.812,996,0,1,0,0,30,2048,425.949219,1622.05078,20.7983017,27.7330017,29.296875,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:54,23.1372547,100,49.80392,49.80392,49.80392,49.80392,0.544,1.008,3.40800023,3.42400026,1,0.144000009,1.03200006,3.40800023,3.18400025,0.984,0.144000009,0.120000005,0.128,0.120000005,0.128,30,24,120,24.5,113,113,112,2146.264,1912.18127,100,100,100,100,100,29,29,27,30,30,3291.753,3291.753,3291.753,3291.753,38.8191032,34.37614,0,2.49313354,99.75009,31.65995,5.046341,10.8928528,31,1126.406,3505.50024,2252.812,995,0,1,0,0,30,2048,438.0078,1609.99219,21.3871,27.8260021,29.296875,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:55,23.5294113,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.42400026,1,0.144000009,1.03200006,3.40800023,3.18400025,0.984,0.144000009,0.120000005,0.136,0.120000005,0.128,30,24,120,24.5,113,113,112,2166.934,1914.89368,100,100,100,100,100,29,30,28,31,31,3291.753,3291.753,3291.753,3291.753,38.743145,34.2294426,0,2.5404942,99.75009,32.0988541,5.11629868,10.8228951,31,1126.406,3505.50024,2252.812,996,1,2,0,0,30,2048,445.8164,1602.18359,21.76838,28.211,29.296875,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:56,24.3137264,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1,0.144000009,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,30,24,120,24.5,113,113,112,2166.934,1936.87231,100,100,100,100,100,29,30,28,29,30,3291.75269,3291.75269,3291.75269,3291.75269,41.1319733,33.72008,0,2.44035029,99.7500839,32.8886871,5.24219131,10.6970024,30,1126.406,3505.50024,2252.812,998,1,2,0,0,30,2048,496.5625,1551.4375,24.2462158,27.9240017,19.53125,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:57,24.3137264,100,49.80392,49.80392,49.80392,49.80392,0.544,1.008,3.40800023,3.42400026,1,0.144000009,1.03200006,3.40800023,3.18400025,0.984,0.144000009,0.120000005,0.136,0.120000005,0.128,30,24,120,24.5,113,113,112,2163.46143,1928.57141,100,100,100,100,100,29,30,29,31,32,3291.75415,3291.75415,3291.75415,3291.75415,38.7288246,34.2742233,0,2.47392464,99.75013,33.2759628,5.30392075,10.635273,31,1126.406,3505.50024,2252.812,996,0,1,0,0,30,2048,497.0703,1550.92969,24.2710114,28.3070011,5.859375,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:58,24.3137264,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1,0.15200001,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,31,24.5,120,24.5,113,113,112,2153.11,1904.09021,100,100,100,100,100,27,30,30,30,32,3291.75244,3291.75244,3291.75244,3291.75244,39.0829659,34.5966759,0,2.58572769,99.75008,34.03102,5.42427063,10.5149231,31,1126.406,3505.50024,2252.812,997,0,1,0,0,30,2048,496.7539,1551.24609,24.2555618,28.2090015,6.8359375,1.953125,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:59,25.4901962,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1,0.144000009,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,31,24.5,120,24.5,113,113,112,2160,1928.57141,100,100,100,100,100,28,28,31,30,31,3291.75366,3291.75366,3291.75366,3291.75366,39.9711151,35.4064941,0,2.62695622,99.75011,33.59774,5.35520935,10.5839844,31,1126.406,3505.50024,2252.812,998,0,1,0,0,30,2048,493.832031,1554.168,24.1128922,28.211,0,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:46:00,25.4901962,100,49.80392,49.80392,49.80392,49.80392,0.544,1.008,3.40800023,3.42400026,1,0.144000009,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,31,24.5,120,24.5,113,113,112,2146.264,1925.82031,100,100,100,100,100,30,31,29,30,31,3291.75415,3291.75415,3291.75415,3291.75415,40.0647125,35.5518646,0,2.54305077,99.75012,33.97352,5.415104,10.52409,32,910.854065,3004.6792,1821.70813,999,1,1,0,0,30,2048,493.832031,1554.168,24.1128922,27.0600014,0,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:46:01,24.3137264,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1,0.15200001,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,32,24.5,120,24.5,113,113,112,2163.46143,1928.57141,100,100,100,100,100,29,30,29,31,31,3291.75342,3291.75342,3291.75342,3291.75342,45.1815643,35.68735,0,2.61098313,99.75011,34.0314026,5.42433167,10.5148621,30,135,405.000031,270,1002,5,13,0,1,30,2048,524.214844,1523.78516,25.5964279,13.835001,57.6171875,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
