,Unnamed: 0,iteration,game_name,game_params,init_time,total_time,times,level,load
0,0,0,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:09:41.964061184,99.8016033173,"[1.7743959426879883, 47.989641427993774, 99.68849778175354]",51.6988563538,46.2152454853
1,1,1,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:11:44.218878208,99.8425421715,"[1.7586843967437744, 47.98634338378906, 99.73928546905518]",51.7529420853,46.227658987
2,2,2,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:13:46.404655104,100.5779793262,"[1.773900032043457, 48.74437618255615, 100.4702684879303]",51.7258923054,46.9704761505
3,3,3,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:15:49.909186304,101.9145720005,"[1.7736563682556152, 49.37750792503357, 101.81129693984985]",52.4337890148,47.6038515568
4,4,4,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:17:54.233253888,99.7420372963,"[1.8110942840576172, 47.99228096008301, 99.62832188606262]",51.636040926,46.181186676
5,5,5,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:19:56.304433408,100.6197538376,"[1.7547721862792969, 48.848586082458496, 100.51176881790161]",51.6631827354,47.0938138962
6,6,6,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:21:59.343432704,99.2793221474,"[1.7575581073760986, 48.286616563797, 99.17392373085022]",50.8873071671,46.5290584564
7,7,7,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:24:01.031964672,98.8864529133,"[1.8000335693359375, 47.84727740287781, 98.7846326828003]",50.9373552799,46.0472438335
8,8,8,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:26:02.247535104,98.962086916,"[1.7873296737670898, 48.73274064064026, 98.85640096664429]",50.123660326,46.9454109669
9,9,9,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:28:03.587011072,99.6923072338,"[1.74881911277771, 48.533960580825806, 99.58359718322754]",51.0496366024,46.785141468
10,10,0,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 18:30:05.642859520,125.1497683525,"[1.7423479557037354, 11.003089427947998, 57.86827850341797, 60.724550008773804, 68.36522436141968, 70.46374607086182, 113.3361747264862, 118.15461301803589, 121.00816202163696, 122.76497650146484, 124.82550120353699]",7.6719872952,57.3621349335
11,11,1,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 18:32:30.809400064,115.5045230389,"[1.745413064956665, 10.279766082763672, 57.13952875137329, 59.98637056350708, 67.76322364807129, 69.86333179473877, 103.68584823608398, 108.5293197631836, 111.36753916740417, 113.12239050865173, 115.17419219017029]",7.6816909313,57.4834575653
