,Unnamed: 0,iteration,game_name,game_params,init_time,total_time,times,level,load
18,18,8,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-21 02:12:46.613538816,107.7250683308,"[1.6985456943511963, 7.147578954696655, 54.00735521316528, 56.84871506690979, 64.15301442146301, 66.1948139667511, 95.95948123931885, 100.7474684715271, 103.59772515296936, 105.34858727455139, 107.39981055259705]",7.6382439137,57.0054354668
19,19,9,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-21 02:14:54.345380608,108.3404574394,"[1.675896167755127, 7.0955588817596436, 53.96206307411194, 56.80817151069641, 64.1283016204834, 66.14654803276062, 96.52782726287842, 101.34365844726562, 104.17912220954895, 105.932687997818, 108.00818181037903]",7.6512949467,57.0327427387
20,20,0,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-21 02:17:02.697557504,93.4398987293,"[1.7002675533294678, 74.8496561050415, 93.0994005203247]",18.2497444153,73.1493885517
21,21,1,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-21 02:27:11.464572416,83.6089997292,"[1.7151963710784912, 65.7799277305603, 83.26565313339233]",17.4857254028,64.0647313595
22,22,2,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-21 02:28:56.596076288,81.7151889801,"[1.6898202896118164, 63.9175226688385, 81.39601922035217]",17.4784965515,62.2277023792
23,23,3,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-21 02:30:39.802781184,82.9964792728,"[1.6831154823303223, 64.79500150680542, 82.65626835823059]",17.8612668514,63.1118860245
24,24,4,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-21 02:32:24.274256384,82.0909509659,"[1.696639060974121, 64.42121720314026, 81.74444365501404]",17.3232264519,62.7245781422
25,25,5,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-21 02:34:07.828446720,80.9031460285,"[1.6809301376342773, 63.06420040130615, 80.58266258239746]",17.5184621811,61.3832702637
26,26,6,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-21 02:35:50.193941504,81.073874712,"[1.6953256130218506, 63.28476667404175, 80.73893094062805]",17.4541642666,61.589441061
27,27,7,PUBG,"{'move_time': 0.5, 'kill_mode': 'keyboard', 'window_names': [""PLAYER UNKOWN'S BATTLEGROUNDS""]}",2022-03-21 02:37:32.731270144,81.0344254971,"[1.6953480243682861, 63.30231809616089, 80.68859648704529]",17.3862783909,61.6069700718
