,Unnamed: 0,iteration,game_name,game_params,init_time,total_time,times,level,load
0,0,0,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 13:40:09.403121152-04:00,94.4087760448,"[1.7238314151763916, 46.148340463638306, 94.29782938957214]",48.14948892593384,44.424509048461914
1,1,1,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 13:42:05.555207680-04:00,94.2204487324,"[1.7049427032470703, 46.03003191947937, 94.10475492477417]",48.0747230052948,44.3250892162323
2,2,2,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 13:44:01.412303872-04:00,94.3050913811,"[1.703261375427246, 46.0268669128418, 94.19832372665405]",48.171456813812256,44.32360553741455
3,3,3,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 13:45:57.338304768-04:00,94.4107260704,"[1.6954710483551025, 46.150043964385986, 94.3061306476593]",48.156086683273315,44.454572916030884
4,4,4,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 13:47:53.363989760-04:00,94.1088273525,"[1.7035653591156006, 45.91322946548462, 94.00114250183105]",48.087913036346436,44.20966410636902
5,5,5,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 13:49:49.081623552-04:00,94.3647577763,"[1.721994161605835, 46.0590877532959, 94.24967789649963]",48.190590143203735,44.33709359169006
6,6,6,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 13:51:45.055557120-04:00,94.8948841095,"[1.7131567001342773, 45.88504338264465, 94.79204726219177]",48.90700387954712,44.171886682510376
7,7,7,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 13:53:41.537490944-04:00,94.880869627,"[1.7158832550048828, 45.91352438926697, 94.77867460250854]",48.86515021324158,44.197641134262085
8,8,8,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 13:55:38.044459264-04:00,94.3134589195,"[1.6955626010894775, 45.99880814552307, 94.20699977874756]",48.20819163322449,44.303245544433594
9,9,9,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 13:57:33.985143040-04:00,95.4625518322,"[1.7041893005371094, 45.91269612312317, 95.3487856388092]",49.436089515686035,44.20850682258606
